,ANO,UF,RACACOR,TOTAL_POPULATION,PERCENTAGE_TOTAL_POPULATION,TOTAL_SUICIDALS,PERCENTAGE_TOTAL_SUICIDALS,PERCENTAGE_SUICIDALS
112,2020,Paraíba,Preta,241080,0.06,1,0.0042016806722689,4.148000663680106e-06
113,2020,Pernambuco,Preta,573540,0.0612244897959183,18,0.0423529411764705,3.138403598702793e-05
114,2020,Sergipe,Preta,208710,0.09,3,0.0234375,1.4374011786689665e-05
115,2020,Bahia,Preta,3280420,0.2222222222222222,79,0.113997113997114,2.4082282146798276e-05
116,2020,Minas Gerais,Preta,2341020,0.11,141,0.0924590163934426,6.023015608580875e-05
117,2020,Espírito Santo,Preta,406000,0.1,11,0.0506912442396313,2.70935960591133e-05
118,2020,RJ,Preta,2257580,0.13,93,0.1251682368775235,4.119455345989954e-05
119,2020,SP,Preta,3239810,0.0714285714285714,113,0.0513169845594913,3.487858855920563e-05
120,2020,Paraná,Preta,345090,0.0306122448979591,22,0.0251428571428571,6.375148511982381e-05
121,2020,Santa Catarina,Preta,217230,0.03,14,0.0188425302826379,6.444782028264972e-05
122,2020,Rio Grande do Sul,Preta,684240,0.06,62,0.0438782731776362,9.061148135157255e-05
123,2020,Mato Grosso do Sul,Preta,164340,0.0612244897959183,8,0.0336134453781512,4.867956675185591e-05
124,2020,Mato Grosso,Preta,347200,0.1,11,0.0495495495495495,3.1682027649769585e-05
125,2020,Goiás,Preta,569280,0.0800000112422725,32,0.0575539568345323,5.621135469364812e-05
126,2020,Distrito Federal,Preta,274770,0.0909090909090909,12,0.0621761658031088,4.367289005349929e-05
127,2021,Rondônia,Preta,144400,0.0808080808080808,9,0.0629370629370629,6.232686980609419e-05
128,2021,Amazonas,Preta,123120,0.0309278350515463,3,0.010204081632653,2.4366471734892787e-05
